Place,Title,Time,Payday,Pay,Date
서울 강서구,[바스버거 마곡점] 주말 풀타임 파트타이머 모집,11:00~22:00,월급,"9,160",42분전
서울 강서구,[바스버거 마곡점] 주말 풀타임 파트타이머 모집,11:00~22:00,월급,"9,160",43분전
서울 금천구,[바스버거 구로디지털단지점]  평일디너타임 파트타이머 모집,16:30~22:30,월급,"10,992",47분전
서울 강남구,[바스버거 선릉점] 평일 오픈 파트타이머 모집,10:00~15:30,월급,"10,992",50분전
서울 강남구,[바스버거 선릉점] 평일 오픈 파트타이머 모집,10:00~15:30,월급,"10,992",51분전
서울 강남구,[바스버거 선릉점] 평일마감 파트타이머 모집,17:30~23:00,월급,"10,992",52분전
서울 강남구,[바스버거 선릉점] 평일 오픈 파트타이머 모집,10:00~15:30,월급,"10,992",53분전
서울 영등포,[바스버거 국회점] 평일오픈 파트타이머 모집,09:30~15:30,월급,"10,992",58분전
서울 강서구,[바스버거 마곡점] 주말 풀타임 파트타이머 모집,11:00~22:00,월급,"9,160",1시간전
서울 강서구,[바스버거 마곡점] 주말 풀타임 파트타이머 모집,11:00~22:00,월급,"9,160",1시간전
서울 영등포,[바스버거 국회점] 평일오픈 파트타이머 모집,09:30~15:30,월급,"10,992",1시간전
서울 영등포,[바스버거 국회의사당점] 평일마감 파트타이머 모집,17:00~22:00,월급,"10,992",1시간전
서울 강서구,[바스버거 마곡점] 주말 풀타임 파트타이머 모집,11:00~22:00,월급,"9,160",1시간전
서울 영등포,[바스버거 국회점] 평일오픈 파트타이머 모집,09:30~15:30,월급,"10,992",1시간전
서울 영등포,[바스버거 국회의사당점] 평일마감 파트타이머 모집,17:00~22:00,월급,"10,992",1시간전
서울 은평구,[바스버거 을지로점] 평일 디너타임 파트타이머 모집,16:30~21:00,월급,"9,160",1시간전
서울 구로구,[바스버거 구로디지털단지점]  평일디너타임 파트타이머 모집,17:00~22:30,월급,"10,992",2시간전
서울 강남구,[바스버거 역삼점] 평일오픈 파트타이머 모집,09:00~16:00,월급,"10,992",2시간전
서울 영등포,[바스버거 국회의사당점] 주말풀타임 파트타이머 모집,10:00~21:00,월급,"10,992",2시간전
서울 영등포,[바스버거 국회점] 평일오픈 파트타이머 모집,09:30~15:30,월급,"10,992",2시간전
서울 용산구,[바스버거 후암점] 평일 마감 파트타이머 모집,18:00~23:00,월급,"10,992",3시간전
서울 용산구,[바스버거 후암점] 주말 풀타임 파트타이머 모집,10:30~21:30,월급,"10,992",3시간전
서울 은평구,[바스버거 광화문점] 평일마감 파트타이머 모집,17:00~22:00,월급,"10,992",3시간전
서울 서초구,[바스버거 서초교대점] 주말풀타임 파트타이머 모집,10:30~21:00,월급,"10,992",3시간전
서울 용산구,[바스버거 용산점] 주중오전 or 주말프리타임/ 2-3일도 편하게가능,시간 협의,월급,"11,000",3시간전
서울 강남구,[바스버거 역삼점] 평일마감 파트타이머 모집,16:30~22:30,월급,"10,992",3시간전
서울 용산구,[바스버거 을지로점] 평일 마감 파트타이머 모집,17:00~22:30,월급,"10,992",3시간전
서울 서초구,[바스버거 서초교대점] 평일오픈 파트타이머 모집,시간 협의,월급,"10,992",3시간전
서울 중구,[바스버거 을지로점] 평일 디너타임 파트타이머 모집,16:30~21:00,월급,"9,160",4시간전
서울 마포구,[바스버거 상암DMC점] 평일 주5일 미들 파트타이머 모집,10:00~14:00,월급,"10,992",4시간전
서울 양천구,[바스버거 여의도점] 평일오픈 파트타이머 모집,09:00~15:30,월급,"10,992",5시간전
서울 동작구,[바스버거 여의도점] 주말풀타임 파트타이머 모집,10:00~21:00,월급,"10,992",5시간전
서울 서초구,[바스버거 서초교대점] 평일오픈 파트타이머 모집,시간 협의,월급,"10,992",6시간전
서울 서초구,[바스버거 서초교대점] 주말풀타임 파트타이머 모집,10:30~21:00,월급,"10,992",6시간전
서울 강남구,[바스버거 역삼점] 평일마감 파트타이머 모집,16:30~22:30,월급,"10,992",6시간전
서울 서초구,[바스버거 서초교대점] 주말풀타임 파트타이머 모집,10:30~21:00,월급,"10,992",6시간전
서울 영등포,[바스버거 여의도점] 주말풀타임 파트타이머 모집,10:00~21:00,월급,"10,992",6시간전
서울 영등포,[바스버거 여의도점] 평일마감 파트타이머 모집,16:00~23:00,월급,"10,992",6시간전
서울 서초구,[바스버거 서초교대점] 평일오픈 파트타이머 모집,시간 협의,월급,"10,992",7시간전
서울 서초구,[바스버거 서초교대점] 주말풀타임 파트타이머 모집,10:30~21:00,월급,"10,992",7시간전
